Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
J18,FALSE,86,Target 1,Unknown,SYBR,13.51213174,0.986883075,1.711079853,Amp,FALSE,13.48,0.39,2.89,1.13,3,7,78.75322723,,,
K18,FALSE,86,Target 1,Unknown,SYBR,13.8577564,0.99063923,1.718208688,Amp,FALSE,,,,,3,8,78.48369598,,,
L18,FALSE,86,Target 1,Unknown,SYBR,13.07885039,0.989905991,1.729828042,Amp,FALSE,,,,,3,8,78.75322723,,,
J20,FALSE,87,Target 1,Unknown,SYBR,13.11405449,0.986004216,1.711641435,Amp,FALSE,13.14,0.17,1.28,1.1,3,7,78.75322723,,,
K20,FALSE,87,Target 1,Unknown,SYBR,13.32117927,0.979293436,1.716145545,Amp,FALSE,,,,,3,6,78.61846161,,,
L20,FALSE,87,Target 1,Unknown,SYBR,12.98930787,0.968548696,1.717144444,Amp,FALSE,,,,,3,7,78.61846161,,,
J22,FALSE,88,Target 1,Unknown,SYBR,12.3371567,0.955888424,1.688324563,Amp,FALSE,12.4,0.08,0.63,1.04,3,6,78.75322723,,,
K22,FALSE,88,Target 1,Unknown,SYBR,12.48667316,0.972392853,1.692224946,Amp,FALSE,,,,,3,6,78.75322723,,,
L22,FALSE,88,Target 1,Unknown,SYBR,12.37482347,0.981730441,1.694704127,Amp,FALSE,,,,,3,6,78.75322723,,,
J24,FALSE,89,Target 1,Unknown,SYBR,13.16396495,0.977565676,1.685569587,Amp,FALSE,13.22,0.21,1.59,1.11,3,7,78.88799286,,,
K24,FALSE,89,Target 1,Unknown,SYBR,13.45542562,0.957036394,1.665353587,Amp,FALSE,,,,,3,7,78.75322723,,,
L24,FALSE,89,Target 1,Unknown,SYBR,13.04737127,0.973294347,1.696100891,Amp,FALSE,,,,,3,7,78.75322723,,,
M1,FALSE,90,Target 1,Unknown,SYBR,13.62595905,0.977398616,1.722689934,Amp,FALSE,14.11,0.54,3.8,1.18,3,8,78.75460815,,,
N1,FALSE,90,Target 1,Unknown,SYBR,14.01086282,0.982802644,1.722590157,Amp,FALSE,,,,,3,8,78.61987305,,,
O1,FALSE,90,Target 1,Unknown,SYBR,14.685906,0.971482259,1.62297252,Amp,FALSE,,,,,3,8,78.61987305,,,
M3,FALSE,91,Target 1,Unknown,SYBR,12.64463343,0.988692233,1.721143336,Amp,FALSE,12.68,0.09,0.68,1.06,3,7,78.75460815,,,
N3,FALSE,91,Target 1,Unknown,SYBR,12.77473095,0.974781456,1.716111168,Amp,FALSE,,,,,3,7,78.61987305,,,
O3,FALSE,91,Target 1,Unknown,SYBR,12.61314586,0.972031187,1.720105287,Amp,FALSE,,,,,3,6,78.61987305,,,
M5,FALSE,92,Target 1,Unknown,SYBR,11.84487464,0.990848797,1.722178205,Amp,FALSE,11.91,0.08,0.64,1,3,6,78.75460815,,,
N5,FALSE,92,Target 1,Unknown,SYBR,11.88976999,0.986221732,1.713843103,Amp,FALSE,,,,,3,6,78.61987305,,,
O5,FALSE,92,Target 1,Unknown,SYBR,11.9930007,0.975329177,1.719691168,Amp,FALSE,,,,,3,6,78.75460815,,,
M7,FALSE,93,Target 1,Unknown,SYBR,12.71868579,0.978290405,1.715743189,Amp,FALSE,12.84,0.1,0.8,1.08,3,8,78.61987305,,,
N7,FALSE,93,Target 1,Unknown,SYBR,12.90362473,0.974683263,1.72536323,Amp,FALSE,,,,,3,7,78.4851532,,,
O7,FALSE,93,Target 1,Unknown,SYBR,12.88749673,0.987870492,1.715974047,Amp,FALSE,,,,,3,7,78.61987305,,,
M9,FALSE,94,Target 1,Unknown,SYBR,13.78952755,0.991143436,1.730019676,Amp,FALSE,13.99,0.19,1.34,1.17,3,7,78.61987305,,,
N9,FALSE,94,Target 1,Unknown,SYBR,14.16062591,0.94698447,1.729889386,Amp,FALSE,,,,,3,9,78.4851532,,,
O9,FALSE,94,Target 1,Unknown,SYBR,14.01565457,0.986467683,1.731188812,Amp,FALSE,,,,,3,8,78.4851532,,,
M11,FALSE,95,Target 1,Unknown,SYBR,13.16759408,0.990277821,1.708282633,Amp,FALSE,13.29,0.24,1.78,1.11,3,8,78.4851532,,,
N11,FALSE,95,Target 1,Unknown,SYBR,13.56069607,0.988416984,1.643982237,Amp,FALSE,,,,,3,8,78.35042572,,,
O11,FALSE,95,Target 1,Unknown,SYBR,13.13458481,0.980002029,1.719396363,Amp,FALSE,,,,,3,6,78.61987305,,,
M13,FALSE,96,Target 1,Unknown,SYBR,12.44189075,0.989579171,1.717894951,Amp,FALSE,12.39,0.24,1.97,1.04,3,8,78.75322723,,,
N13,FALSE,96,Target 1,Unknown,SYBR,12.60494162,0.96841888,1.7177908,Amp,FALSE,,,,,3,6,78.61846161,,,
O13,FALSE,96,Target 1,Unknown,SYBR,12.1257615,0.974719874,1.719813847,Amp,FALSE,,,,,3,6,78.75322723,,,
M15,FALSE,97,Target 1,Unknown,SYBR,12.91218326,0.986180386,1.717655078,Amp,FALSE,13.09,0.5,3.81,1.1,3,7,78.75322723,,,
N15,FALSE,97,Target 1,Unknown,SYBR,13.64671222,0.980311998,1.697228441,Amp,FALSE,,,,,3,8,78.48369598,,,
O15,FALSE,97,Target 1,Unknown,SYBR,12.69661081,0.984245491,1.721818201,Amp,FALSE,,,,,3,6,78.61846161,,,
M17,FALSE,98,Target 1,Unknown,SYBR,13.15645753,0.987589513,1.713123365,Amp,FALSE,13.15,0.03,0.24,1.1,3,7,78.61846161,,,
N17,FALSE,98,Target 1,Unknown,SYBR,13.17176079,0.986693536,1.716712736,Amp,FALSE,,,,,3,7,78.48369598,,,
O17,FALSE,98,Target 1,Unknown,SYBR,13.11065986,0.977290841,1.716373081,Amp,FALSE,,,,,3,6,78.61846161,,,
M19,FALSE,99,Target 1,Unknown,SYBR,12.75961326,0.98030592,1.717709387,Amp,FALSE,12.99,0.22,1.73,1.09,3,7,78.75322723,,,
N19,FALSE,99,Target 1,Unknown,SYBR,12.99959494,0.983231587,1.713115614,Amp,FALSE,,,,,3,7,78.61846161,,,
O19,FALSE,99,Target 1,Unknown,SYBR,13.20776574,0.975469108,1.717068904,Amp,FALSE,,,,,3,7,78.61846161,,,
M21,FALSE,100,Target 1,Unknown,SYBR,12.9010165,0.980848827,1.715203408,Amp,FALSE,13.04,0.28,2.17,1.09,3,6,78.75322723,,,
N21,FALSE,100,Target 1,Unknown,SYBR,13.36713754,0.956754154,1.698043539,Amp,FALSE,,,,,3,7,78.61846161,,,
O21,FALSE,100,Target 1,Unknown,SYBR,12.8574438,0.986361938,1.713348855,Amp,FALSE,,,,,3,7,78.75322723,,,
M23,FALSE,101,Target 1,Unknown,SYBR,12.28868925,0.981110244,1.702184307,Amp,FALSE,12.44,0.19,1.51,1.04,3,6,78.75322723,,,
N23,FALSE,101,Target 1,Unknown,SYBR,12.64714582,0.974684545,1.678075249,Amp,FALSE,,,,,3,6,78.61846161,,,
O23,FALSE,101,Target 1,Unknown,SYBR,12.37239385,0.972348892,1.693563444,Amp,FALSE,,,,,3,6,78.61846161,,,
M2,FALSE,102,Target 1,Unknown,SYBR,13.2237844,0.975252047,1.715507795,Amp,FALSE,13.26,0.06,0.48,1.11,3,7,78.4851532,,,
N2,FALSE,102,Target 1,Unknown,SYBR,13.33481235,0.978974696,1.716294174,Amp,FALSE,,,,,3,7,78.4851532,,,
O2,FALSE,102,Target 1,Unknown,SYBR,13.22479527,0.977118163,1.7157189,Amp,FALSE,,,,,3,7,78.4851532,,,
M4,FALSE,103,Target 1,Unknown,SYBR,12.23935523,0.989111997,1.709025557,Amp,FALSE,12.44,0.18,1.47,1.04,3,6,78.75460815,,,
N4,FALSE,103,Target 1,Unknown,SYBR,12.48860641,0.983018419,1.718044313,Amp,FALSE,,,,,3,7,78.61987305,,,
O4,FALSE,103,Target 1,Unknown,SYBR,12.59557196,0.976097498,1.721964247,Amp,FALSE,,,,,3,7,78.61987305,,,
M6,FALSE,104,Target 1,Unknown,SYBR,14.19368012,0.989649746,1.730049928,Amp,FALSE,14.4,0.23,1.59,1.21,3,8,78.61987305,,,
N6,FALSE,104,Target 1,Unknown,SYBR,14.361452,0.981766532,1.723250668,Amp,FALSE,,,,,3,8,78.4851532,,,
O6,FALSE,104,Target 1,Unknown,SYBR,14.64656583,0.991143253,1.728955704,Amp,FALSE,,,,,3,8,78.4851532,,,
M8,FALSE,105,Target 1,Unknown,SYBR,13.78046025,0.987193042,1.730460931,Amp,FALSE,14.11,0.34,2.43,1.18,3,7,78.61987305,,,
N8,FALSE,105,Target 1,Unknown,SYBR,14.07953226,0.986054939,1.730017711,Amp,FALSE,,,,,3,8,78.4851532,,,
O8,FALSE,105,Target 1,Unknown,SYBR,14.4649255,0.989969057,1.730673,Amp,FALSE,,,,,3,9,78.35042572,,,
M10,FALSE,106,Target 1,Unknown,SYBR,13.56011132,0.987146993,1.726115288,Amp,FALSE,13.69,0.11,0.81,1.15,3,8,78.61987305,,,
N10,FALSE,106,Target 1,Unknown,SYBR,13.72769529,0.987073619,1.722755564,Amp,FALSE,,,,,3,7,78.4851532,,,
O10,FALSE,106,Target 1,Unknown,SYBR,13.76987531,0.988106212,1.72339308,Amp,FALSE,,,,,3,8,78.4851532,,,
M12,FALSE,107,Target 1,Unknown,SYBR,13.89672025,0.974618268,1.729518618,Amp,FALSE,13.48,0.38,2.81,1.13,3,8,78.35042572,,,
N12,FALSE,107,Target 1,Unknown,SYBR,13.16246979,0.984579741,1.719240647,Amp,FALSE,,,,,3,7,78.4851532,,,
O12,FALSE,107,Target 1,Unknown,SYBR,13.36819086,0.990715533,1.71646798,Amp,FALSE,,,,,3,7,78.4851532,,,
M14,FALSE,108,Target 1,Unknown,SYBR,16.36069634,0.991980463,1.729370141,Amp,FALSE,16.34,0.04,0.21,1.37,3,10,78.48369598,,,
N14,FALSE,108,Target 1,Unknown,SYBR,16.3691819,0.99289634,1.729655424,Amp,FALSE,,,,,3,10,78.48369598,,,
O14,FALSE,108,Target 1,Unknown,SYBR,16.30469965,0.991418255,1.732459158,Amp,FALSE,,,,,3,9,78.48369598,,,
M16,FALSE,109,Target 1,Unknown,SYBR,11.77482861,0.969575186,1.716824158,Amp,FALSE,11.79,0.11,0.93,0.99,3,7,78.75322723,,,
N16,FALSE,109,Target 1,Unknown,SYBR,11.69225516,0.98972619,1.717272834,Amp,FALSE,,,,,3,6,78.61846161,,,
O16,FALSE,109,Target 1,Unknown,SYBR,11.91014378,0.979990896,1.714485714,Amp,FALSE,,,,,3,6,78.75322723,,,
M18,FALSE,110,Target 1,Unknown,SYBR,12.44969672,0.976440425,1.711987592,Amp,FALSE,12.51,0.09,0.68,1.05,3,7,78.75322723,,,
N18,FALSE,110,Target 1,Unknown,SYBR,12.47013289,0.960179446,1.711035046,Amp,FALSE,,,,,3,6,78.61846161,,,
O18,FALSE,110,Target 1,Unknown,SYBR,12.60723404,0.977954257,1.703751377,Amp,FALSE,,,,,3,6,78.48369598,,,
M20,FALSE,111,Target 1,Unknown,SYBR,11.95282316,0.979665096,1.710905677,Amp,FALSE,12.11,0.16,1.3,1.01,3,6,78.75322723,,,
N20,FALSE,111,Target 1,Unknown,SYBR,12.09628248,0.972011932,1.711347363,Amp,FALSE,,,,,3,6,78.75322723,,,
O20,FALSE,111,Target 1,Unknown,SYBR,12.2672395,0.975365216,1.706066538,Amp,FALSE,,,,,3,6,78.61846161,,,
M22,FALSE,112,Target 1,Unknown,SYBR,11.92217142,0.973328113,1.70690317,Amp,FALSE,12.1,0.23,1.9,1.01,3,6,78.75322723,,,
N22,FALSE,112,Target 1,Unknown,SYBR,12.01997363,0.982861877,1.704219879,Amp,FALSE,,,,,3,6,78.61846161,,,
O22,FALSE,112,Target 1,Unknown,SYBR,12.35964792,0.962235499,1.690283275,Amp,FALSE,,,,,3,6,78.61846161,,,
M24,FALSE,113,Target 1,Unknown,SYBR,12.25175412,0.977748738,1.705196235,Amp,FALSE,12.6,0.37,2.91,1.06,3,6,78.88799286,,,
N24,FALSE,113,Target 1,Unknown,SYBR,12.57850718,0.978092443,1.685992995,Amp,FALSE,,,,,3,6,78.75322723,,,
O24,FALSE,113,Target 1,Unknown,SYBR,12.98349457,0.975040956,1.653163201,Amp,FALSE,,,,,3,7,78.61846161,,,
P1,FALSE,114,Target 1,Unknown,SYBR,11.84839546,0.983621966,1.716300532,Amp,FALSE,11.4,0.54,4.73,0.95,3,6,78.889328,,,
P3,FALSE,114,Target 1,Unknown,SYBR,10.79966372,0.971158266,1.718414524,Amp,FALSE,,,,,3,5,79.15878296,,,
P5,FALSE,114,Target 1,Unknown,SYBR,11.54428742,0.987732671,1.668622211,Amp,FALSE,,,,,3,6,78.889328,,,
P7,FALSE,115,Target 1,Unknown,SYBR,12.23511358,0.981812955,1.710641704,Amp,FALSE,12.28,0.24,1.95,1.03,3,7,78.889328,,,
P9,FALSE,115,Target 1,Unknown,SYBR,12.07110122,0.970747484,1.721277606,Amp,FALSE,,,,,3,6,78.75460815,,,
P11,FALSE,115,Target 1,Unknown,SYBR,12.54365124,0.985329227,1.713661028,Amp,FALSE,,,,,3,7,78.61987305,,,
P13,FALSE,116,Target 1,Unknown,SYBR,11.36799474,0.975207063,1.713644886,Amp,FALSE,11.46,0.46,4.05,0.96,3,6,78.75322723,,,
P15,FALSE,116,Target 1,Unknown,SYBR,11.04630223,0.980959161,1.705537211,Amp,FALSE,,,,,3,6,78.88799286,,,
P17,FALSE,116,Target 1,Unknown,SYBR,11.96122833,0.976669727,1.686047487,Amp,FALSE,,,,,3,6,78.48369598,,,
P19,FALSE,117,Target 1,Unknown,SYBR,12.22697853,0.980082651,1.700890345,Amp,FALSE,12.18,0.06,0.51,1.02,3,7,78.61846161,,,
P21,FALSE,117,Target 1,Unknown,SYBR,12.19473138,0.985264635,1.702854213,Amp,FALSE,,,,,3,6,78.61846161,,,
P23,FALSE,117,Target 1,Unknown,SYBR,12.10665591,0.966267884,1.701079044,Amp,FALSE,,,,,3,6,78.75322723,,,
P2,FALSE,118,Target 1,Unknown,SYBR,11.28720633,0.981100016,1.695562704,Amp,FALSE,10.92,0.4,3.64,0.91,3,6,79.29351044,,,
P4,FALSE,118,Target 1,Unknown,SYBR,10.96346864,0.989213094,1.723856683,Amp,FALSE,,,,,3,6,79.29351044,,,
P6,FALSE,118,Target 1,Unknown,SYBR,10.49685503,0.978037736,1.718133773,Amp,FALSE,,,,,3,5,79.29351044,,,
P8,FALSE,119,Target 1,Unknown,SYBR,10.48171423,0.984395022,1.714171066,Amp,FALSE,10.79,0.45,4.13,0.9,3,5,79.15878296,,,
P10,FALSE,119,Target 1,Unknown,SYBR,10.58590315,0.985012558,1.715044079,Amp,FALSE,,,,,3,5,79.15878296,,,
P12,FALSE,119,Target 1,Unknown,SYBR,11.3001212,0.989417033,1.714108188,Amp,FALSE,,,,,3,6,78.889328,,,
P14,FALSE,120,Target 1,Unknown,SYBR,12.02392419,0.983408249,1.712875867,Amp,FALSE,11.83,0.17,1.46,0.99,3,6,78.88799286,,,
P16,FALSE,120,Target 1,Unknown,SYBR,11.73867906,0.989081957,1.718973702,Amp,FALSE,,,,,3,6,79.02275848,,,
P18,FALSE,120,Target 1,Unknown,SYBR,11.71411468,0.984639405,1.712827525,Amp,FALSE,,,,,3,6,79.02275848,,,
P20,FALSE,121,Target 1,Unknown,SYBR,14.47963088,0.977296199,1.700100448,Amp,FALSE,14.22,0.53,3.75,1.19,3,8,78.61846161,,,
P22,FALSE,121,Target 1,Unknown,SYBR,13.606632,0.974137301,1.712852771,Amp,FALSE,,,,,3,7,79.02275848,,,
P24,FALSE,121,Target 1,Unknown,SYBR,14.57502504,0.971383539,1.698406368,Amp,FALSE,,,,,3,9,78.75322723,,,
A3,FALSE,Gold,Target 1,Unknown,SYBR,11.68275101,0.989708297,1.688400509,Amp,FALSE,11.94,0.31,2.56,1,3,6,78.889328,,,
B3,FALSE,Gold,Target 1,Unknown,SYBR,11.85382385,0.987142806,1.717507397,Amp,FALSE,,,,,3,6,78.889328,,,
C3,FALSE,Gold,Target 1,Unknown,SYBR,12.27558399,0.951201344,1.742393498,Amp,FALSE,,,,,3,8,78.889328,,,
A1,FALSE,H20,Target 1,Unknown,SYBR,Undetermined,0,1.029960414,No Amp,FALSE,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3,22,78.889328,72.28772736,,
B1,FALSE,H20,Target 1,Unknown,SYBR,Undetermined,0,0.960862297,No Amp,FALSE,,,,,3,22,78.889328,72.28772736,,
C1,FALSE,H20,Target 1,Unknown,SYBR,Undetermined,0,0.990310319,No Amp,FALSE,,,,,3,23,78.889328,72.69190979,,
A5,FALSE,Std1,Target 1,Unknown,SYBR,12.16299752,0.986203974,1.718547445,Amp,FALSE,12.21,0.06,0.45,1.02,3,6,78.889328,,,
B5,FALSE,Std1,Target 1,Unknown,SYBR,12.27142644,0.981181941,1.712492007,Amp,FALSE,,,,,3,6,78.75460815,,,
C5,FALSE,Std1,Target 1,Unknown,SYBR,12.19882227,0.985641164,1.72002858,Amp,FALSE,,,,,3,6,78.75460815,,,
A7,FALSE,Std2,Target 1,Unknown,SYBR,12.86769334,0.990468884,1.706588279,Amp,FALSE,13.24,0.33,2.5,1.11,3,7,78.75460815,,,
B7,FALSE,Std2,Target 1,Unknown,SYBR,13.36480217,0.991090641,1.713867506,Amp,FALSE,,,,,3,7,78.61987305,,,
C7,FALSE,Std2,Target 1,Unknown,SYBR,13.49628242,0.989342978,1.716287424,Amp,FALSE,,,,,3,7,78.4851532,,,
A9,FALSE,Std3,Target 1,Unknown,SYBR,14.2604858,0.992286959,1.71918706,Amp,FALSE,14.13,0.12,0.83,1.18,3,8,78.61987305,,,
B9,FALSE,Std3,Target 1,Unknown,SYBR,14.07417725,0.990187837,1.721726992,Amp,FALSE,,,,,3,8,78.61987305,,,
C9,FALSE,Std3,Target 1,Unknown,SYBR,14.04310599,0.990884899,1.725654839,Amp,FALSE,,,,,3,7,78.61987305,,,
A11,FALSE,Std4,Target 1,Unknown,SYBR,15.0265239,0.98876955,1.726081193,Amp,FALSE,15.01,0.04,0.23,1.26,3,9,78.4851532,,,
B11,FALSE,Std4,Target 1,Unknown,SYBR,14.97088579,0.992142505,1.729220815,Amp,FALSE,,,,,3,8,78.61987305,,,
C11,FALSE,Std4,Target 1,Unknown,SYBR,15.036184,0.989605859,1.731515628,Amp,FALSE,,,,,3,9,78.4851532,,,
A13,FALSE,Std5,Target 1,Unknown,SYBR,12.37835517,0.986422148,1.704523151,Amp,FALSE,12.28,0.17,1.38,1.03,3,7,78.48369598,,,
B13,FALSE,Std5,Target 1,Unknown,SYBR,12.08065825,0.987705923,1.715718861,Amp,FALSE,,,,,3,6,78.75322723,,,
C13,FALSE,Std5,Target 1,Unknown,SYBR,12.37018175,0.99058749,1.715906661,Amp,FALSE,,,,,3,7,78.61846161,,,