* Block Type = 384-Well Block,,,,,,,,,,,,
* Date Created = Wed Jul 15 09:57:37 EDT 2020,,,,,,,,,,,,
* Passive Reference = ROX,,,,,,,,,,,,
,,,,,,,,,,,,
[Sample Setup],,,,,,,,,,,,
Well,Well Position,Sample Name,Sample Color,Biogroup Name,Biogroup Color,Target Name,Target Color,Task,Reporter,Quencher,Quantity,Comments
1,A1,NEGATIVE,"RGB(238,238,0)",,,Target 1,"RGB(176,23,31)",NTC,SYBR,,,
2,A2,GOLDEN,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
3,A3,STD1,"RGB(142,142,56)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,1,
4,A4,STD2,"RGB(238,44,44)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,1,
5,A5,STD3,"RGB(51,161,201)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,1,
6,A6,STD4,"RGB(238,18,137)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.2,
7,A7,STD5,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.2,
8,A8,Sample 1,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
9,A9,Sample 2,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
10,A10,Sample 3,"RGB(0,139,69)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
11,A11,Sample 4,"RGB(255,127,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
12,A12,Sample 5,"RGB(139,137,112)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
13,B1,NEGATIVE,"RGB(238,238,0)",,,Target 1,"RGB(176,23,31)",NTC,SYBR,,,
14,B2,GOLDEN,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
15,B3,STD1,"RGB(142,142,56)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.2,
16,B4,STD2,"RGB(238,44,44)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.04,
17,B5,STD3,"RGB(51,161,201)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.04,
18,B6,STD4,"RGB(238,18,137)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.04,
19,B7,STD5,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.008,
20,B8,Sample 1,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
21,B9,Sample 2,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
22,B10,Sample 3,"RGB(0,139,69)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
23,B11,Sample 4,"RGB(255,127,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
24,B12,Sample 5,"RGB(139,137,112)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
25,C1,NEGATIVE,"RGB(238,238,0)",,,Target 1,"RGB(176,23,31)",NTC,SYBR,,,
26,C2,GOLDEN,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
27,C3,STD1,"RGB(142,142,56)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.008,
28,C4,STD2,"RGB(238,44,44)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.008,
29,C5,STD3,"RGB(51,161,201)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.0016,
30,C6,STD4,"RGB(238,18,137)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.0016,
31,C7,STD5,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",STANDARD,SYBR,,0.0016,
32,C8,Sample 1,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
33,C9,Sample 2,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
34,C10,Sample 3,"RGB(0,139,69)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
35,C11,Sample 4,"RGB(255,127,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
36,C12,Sample 5,"RGB(139,137,112)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
37,D1,Sample 6,"RGB(238,121,66)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
38,D2,Sample 7,"RGB(142,56,142)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
39,D3,Sample 8,"RGB(198,113,113)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
40,D4,Sample 9,"RGB(0,245,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
41,D5,Sample 10,"RGB(238,220,130)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
42,D6,Sample 11,"RGB(238,238,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
43,D7,Sample 12,"RGB(142,142,56)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
44,D8,Sample 13,"RGB(238,44,44)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
45,D9,Sample 14,"RGB(51,161,201)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
46,D10,Sample 15,"RGB(238,18,137)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
47,D11,Sample 16,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
48,D12,Sample 17,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
49,E1,Sample 6,"RGB(238,121,66)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
50,E2,Sample 7,"RGB(142,56,142)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
51,E3,Sample 8,"RGB(198,113,113)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
52,E4,Sample 9,"RGB(0,245,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
53,E5,Sample 10,"RGB(238,220,130)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
54,E6,Sample 11,"RGB(238,238,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
55,E7,Sample 12,"RGB(142,142,56)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
56,E8,Sample 13,"RGB(238,44,44)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
57,E9,Sample 14,"RGB(51,161,201)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
58,E10,Sample 15,"RGB(238,18,137)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
59,E11,Sample 16,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
60,E12,Sample 17,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
61,F1,Sample 6,"RGB(238,121,66)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
62,F2,Sample 7,"RGB(142,56,142)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
63,F3,Sample 8,"RGB(198,113,113)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
64,F4,Sample 9,"RGB(0,245,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
65,F5,Sample 10,"RGB(238,220,130)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
66,F6,Sample 11,"RGB(238,238,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
67,F7,Sample 12,"RGB(142,142,56)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
68,F8,Sample 13,"RGB(238,44,44)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
69,F9,Sample 14,"RGB(51,161,201)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
70,F10,Sample 15,"RGB(238,18,137)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
71,F11,Sample 16,"RGB(176,23,31)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
72,F12,Sample 17,"RGB(0,0,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
73,G1,Sample 18,"RGB(0,139,69)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
74,G2,Sample 18,"RGB(0,139,69)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
75,G3,Sample 18,"RGB(0,139,69)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
76,G4,Sample 19,"RGB(255,127,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
77,G5,Sample 19,"RGB(255,127,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
78,G6,Sample 19,"RGB(255,127,0)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
79,G7,Sample 20,"RGB(139,137,112)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
80,G8,Sample 20,"RGB(139,137,112)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
81,G9,Sample 20,"RGB(139,137,112)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
82,G10,Sample 21,"RGB(238,121,66)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
83,G11,Sample 21,"RGB(238,121,66)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
84,G12,Sample 21,"RGB(238,121,66)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
85,H1,Sample 22,"RGB(142,56,142)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
86,H2,Sample 22,"RGB(142,56,142)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
87,H3,Sample 22,"RGB(142,56,142)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
88,H4,Sample 23,"RGB(198,113,113)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
89,H5,Sample 23,"RGB(198,113,113)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
90,H6,Sample 23,"RGB(198,113,113)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
91,H7,Sample 24,"RGB(0,245,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
92,H8,Sample 24,"RGB(0,245,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
93,H9,Sample 24,"RGB(0,245,255)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
94,H10,Sample 25,"RGB(238,220,130)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
95,H11,Sample 25,"RGB(238,220,130)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,
96,H12,Sample 25,"RGB(238,220,130)",,,Target 1,"RGB(176,23,31)",UNKNOWN,SYBR,,,